Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64e62e33eacc94091d494019,5f7a28b8bedcf2112ebd1289,APPROVED,2023-08-23T16:06:40.454000Z,2023-08-23T16:21:39.021000Z,2023-08-23T16:21:39.659000,2023-08-23T16:21:39.586916Z,899,CRSWQ1W7,4871,37,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64e62e408a4146763529e1d1,62bb42e2f21cfdb280cc975f,APPROVED,2023-08-23T16:05:24.825000Z,2023-08-23T16:25:45.929000Z,2023-08-23T16:25:48.434000,2023-08-23T16:25:46.522206Z,1222,CRSWQ1W7,2930,28,Female,Other,United States,United States,United States,English,Yes,Full-Time
64e62e4425dc4e60bfd2a1a2,5b15307351caaf0001228d9b,APPROVED,2023-08-23T16:06:27.320000Z,2023-08-23T16:25:53.403000Z,2023-08-23T16:25:54.236000,2023-08-23T16:25:54.155289Z,1167,CRSWQ1W7,2968,33,Female,White,United States,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64e62e44e5c0fef4cbd3417a,5e29dc4721a5f20481c70274,APPROVED,2023-08-23T16:10:16.008000Z,2023-08-23T16:32:33.136000Z,2023-08-23T16:32:33.762000,2023-08-23T16:32:33.658791Z,1338,CRSWQ1W7,3577,39,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64e62e690f2a975e176f71a9,622f7f35376a1f92763ddbe2,APPROVED,2023-08-23T16:13:49.619000Z,2023-08-23T16:47:45.569000Z,2023-08-23T16:47:46.214000,2023-08-23T16:47:46.126522Z,2036,CRSWQ1W7,2517,69,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64e62ec12171fd11432851f3,5fdac85f90a6137a11b4a415,APPROVED,2023-08-23T16:07:32.729000Z,2023-08-23T16:23:08.506000Z,2023-08-23T16:23:36.176000Z,2023-08-23T16:23:46.741792Z,936,CRSWQ1W7,2486,35,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64e62ed07f947bd8533886b0,5c3a764874d1c6000138ea83,APPROVED,2023-08-23T16:12:11.596000Z,2023-08-23T16:35:33.209000Z,2023-08-23T16:35:33.806000,2023-08-23T16:35:33.739861Z,1402,CRSWQ1W7,1914,DATA_EXPIRED,Female,White,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64e62edb328a63d37244ebdc,62faba5f904642df812944fa,APPROVED,2023-08-23T16:13:51.365000Z,2023-08-23T16:36:07.212000Z,2023-08-23T16:36:07.811000,2023-08-23T16:36:07.717243Z,1336,CRSWQ1W7,2598,68,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
64e62ef026e0934052e27965,5e41a52038926b03b5357afb,APPROVED,2023-08-23T16:08:28.692000Z,2023-08-23T16:59:57.317000Z,2023-08-23T16:59:58.458000,2023-08-23T16:59:58.369946Z,3089,CRSWQ1W7,545,57,Female,Black,United States,United States,United States,English,Yes,Part-Time
64e62efc5f3ba2b898a30afd,63ead665638c8546d8c3a962,APPROVED,2023-08-23T16:08:31.224000Z,2023-08-23T16:21:15.574000Z,2023-08-23T16:21:16.160000Z,2023-08-23T16:21:16.329717Z,765,CRSWQ1W7,837,21,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
